Type,Age,BreedPurity,Gender,ColorPurity,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed
Cat,3,Pure,Mixed,Mixed,Medium,Short,No,No,No,Healthy,7,0,Selangor,0,14,Average
Cat,3,Pure,Male,Pure,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,1,Not Adopted
Cat,2,Pure,Male,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,3,Not Adopted
Dog,2,Mixed,Mixed,Pure,Medium,Short,No,No,No,Healthy,2,0,Kuala Lumpur,0,1,Not Adopted
Dog,1,Pure,Female,Pure,Medium,Medium,No,No,No,Healthy,2,0,Negeri Sembilan,0,1,Average
Dog,24,Pure,Male,Pure,Large,Short,Yes,Yes,Yes,Healthy,1,200,Selangor,0,3,Not Adopted
Cat,10,Pure,Female,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Selangor,0,1,Not Adopted
Dog,2,Pure,Female,Pure,Medium,Short,Yes,Yes,No,Healthy,1,0,Perak,0,2,Slow
Cat,1,Mixed,Male,Mixed,Large,Long,No,No,No,Healthy,1,50,Selangor,0,3,Average
Dog,60,Pure,Male,Pure,Small,Long,Yes,Yes,Yes,Healthy,1,150,Selangor,0,2,Average
Cat,1,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,15,Selangor,0,5,Average
Cat,4,Mixed,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,100,Selangor,0,5,Slow
Cat,5,Pure,Female,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,150,Selangor,2,13,Not Adopted
Dog,7,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,100,Kuala Lumpur,0,10,Not Adopted
Dog,36,Pure,Female,Mixed,Large,Short,Not Sure,Not Sure,Yes,Healthy,1,0,Kuala Lumpur,0,0,Not Adopted
Cat,2,Pure,Male,Mixed,Medium,Short,Yes,Yes,Not Sure,Healthy,1,0,Kuala Lumpur,0,1,Slow
Cat,2,Mixed,Male,Mixed,Medium,Short,No,Yes,No,Healthy,1,100,Selangor,0,5,Average
Dog,2,Pure,Female,Mixed,Medium,Short,Not Sure,Not Sure,No,Healthy,1,0,Selangor,0,3,Slow
Dog,0,Pure,Mixed,Mixed,Medium,Short,No,No,No,Healthy,8,0,Selangor,0,7,Average
Cat,1,Mixed,Female,Pure,Small,Medium,No,No,No,Healthy,1,0,Selangor,0,4,Average
Dog,2,Mixed,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,2,Average
Dog,2,Pure,Male,Pure,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,1,Fast
Cat,4,Mixed,Female,Mixed,Small,Medium,Yes,Yes,No,Healthy,1,80,Selangor,0,13,Slow
Dog,1,Mixed,Mixed,Mixed,Medium,Medium,No,No,No,Healthy,9,0,Perak,0,11,Not Adopted
Cat,3,Pure,Male,Mixed,Small,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,1,Fast
Dog,3,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,2,Not Adopted
Dog,60,Mixed,Female,Mixed,Small,Medium,Not Sure,Yes,Not Sure,Minor Injury,1,100,Negeri Sembilan,0,3,Not Adopted
Cat,5,Pure,Female,Pure,Large,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Average
Cat,2,Pure,Female,Mixed,Small,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,1,Fast
Dog,12,Pure,Mixed,Pure,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,4,0,Kuala Lumpur,0,7,Not Adopted
Cat,2,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Pulau Pinang,0,7,Slow
Dog,2,Mixed,Female,Pure,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,6,Average
Cat,14,Pure,Male,Pure,Large,Short,No,Yes,Yes,Healthy,1,0,Selangor,0,5,Average
Cat,1,Pure,Male,Mixed,Small,Short,No,No,No,Healthy,1,0,Selangor,0,3,Fast
Cat,8,Pure,Female,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,5,Average
Dog,3,Pure,Female,Pure,Small,Short,Yes,Yes,No,Healthy,1,100,Kuala Lumpur,0,2,Not Adopted
Dog,8,Pure,Male,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,5,Not Adopted
Cat,6,Mixed,Female,Mixed,Small,Medium,Yes,Yes,Yes,Healthy,1,30,Selangor,0,3,Not Adopted
Cat,1,Pure,Female,Mixed,Small,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,1,Fast
Cat,1,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,2,Fast
Cat,18,Pure,Male,Pure,Medium,Short,No,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,1,Not Adopted
Dog,60,Pure,Male,Mixed,Medium,Medium,No,Yes,No,Minor Injury,1,0,Kuala Lumpur,0,5,Fast
Dog,12,Pure,Male,Pure,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,3,Not Adopted
Dog,6,Mixed,Female,Pure,Medium,Short,Yes,Yes,Not Sure,Healthy,1,100,Selangor,0,1,Fast
Dog,2,Pure,Mixed,Mixed,Small,Medium,No,No,No,Healthy,7,0,Kuala Lumpur,0,5,Not Adopted
Cat,2,Pure,Mixed,Mixed,Small,Medium,No,No,No,Healthy,2,0,Selangor,0,5,Not Adopted
Cat,2,Mixed,Female,Mixed,Small,Medium,No,Not Sure,No,Healthy,1,0,Negeri Sembilan,0,3,Fast
Dog,2,Pure,Female,Pure,Medium,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,1,Average
Dog,5,Mixed,Mixed,Mixed,Medium,Short,No,No,Not Sure,Healthy,2,0,Selangor,0,2,Average
Dog,2,Mixed,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,1,Average
Dog,24,Pure,Male,Mixed,Large,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,2,Fast
Cat,2,Pure,Mixed,Mixed,Small,Medium,No,Yes,No,Healthy,2,0,Kuala Lumpur,0,9,Slow
Cat,5,Pure,Mixed,Mixed,Small,Short,Yes,Yes,Yes,Healthy,6,0,Selangor,0,5,Not Adopted
Dog,24,Pure,Female,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,2,0,Pulau Pinang,0,21,Not Adopted
Dog,2,Pure,Mixed,Pure,Medium,Short,No,Yes,No,Healthy,2,0,Selangor,0,5,Not Adopted
Dog,1,Pure,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,2,0,Kuala Lumpur,0,5,Average
Dog,2,Mixed,Male,Pure,Medium,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,3,Fast
Cat,4,Pure,Female,Pure,Small,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,6,Average
Dog,36,Mixed,Female,Mixed,Small,Short,Yes,Yes,Not Sure,Healthy,1,250,Selangor,0,6,Slow
Dog,12,Mixed,Male,Mixed,Medium,Short,Yes,Yes,Not Sure,Healthy,2,0,Pulau Pinang,0,2,Slow
Cat,12,Mixed,Female,Mixed,Small,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,7,Slow
Cat,2,Pure,Mixed,Mixed,Medium,Short,No,No,No,Healthy,4,0,Kuala Lumpur,0,5,Average
Dog,84,Mixed,Female,Pure,Small,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,1,Fast
Cat,4,Pure,Male,Mixed,Medium,Medium,No,No,No,Healthy,2,0,Terengganu,0,2,Not Adopted
Dog,7,Mixed,Female,Pure,Large,Long,Yes,Yes,No,Healthy,1,500,Selangor,0,1,Fast
Cat,2,Mixed,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,50,Selangor,2,5,Average
Cat,9,Mixed,Female,Mixed,Medium,Short,No,No,No,Healthy,2,0,Selangor,0,8,Not Adopted
Cat,1,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,3,Average
Cat,3,Mixed,Female,Mixed,Small,Medium,No,Yes,No,Healthy,1,0,Selangor,0,2,Not Adopted
Cat,3,Pure,Mixed,Mixed,Small,Short,No,No,No,Healthy,9,0,Selangor,0,18,Slow
Dog,24,Mixed,Mixed,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,4,0,Kuala Lumpur,0,4,Not Adopted
Cat,4,Pure,Mixed,Mixed,Small,Medium,No,No,No,Healthy,2,40,Selangor,0,1,Fast
Dog,1,Mixed,Female,Pure,Medium,Long,Yes,Yes,No,Healthy,1,0,Selangor,0,3,Slow
Cat,5,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,1,Average
Dog,3,Pure,Male,Pure,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,0,2,Not Adopted
Dog,2,Pure,Male,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Selangor,0,4,Average
Cat,4,Pure,Male,Mixed,Small,Short,Not Sure,Not Sure,Not Sure,Minor Injury,3,0,Kuala Lumpur,0,1,Not Adopted
Dog,2,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,6,Not Adopted
Dog,24,Mixed,Mixed,Mixed,Large,Medium,Yes,Yes,Yes,Healthy,2,0,Kuala Lumpur,0,2,Fast
Cat,1,Mixed,Female,Mixed,Medium,Medium,Not Sure,Not Sure,No,Healthy,3,0,Selangor,0,3,Instant
Dog,9,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,2,Not Adopted
Dog,4,Pure,Male,Pure,Large,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Average
Dog,96,Pure,Female,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,0,2,Not Adopted
Cat,60,Mixed,Mixed,Mixed,Medium,Short,No,Yes,Yes,Minor Injury,2,0,Selangor,0,4,Average
Cat,72,Mixed,Male,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,1,Not Adopted
Cat,46,Pure,Female,Mixed,Large,Short,No,No,No,Healthy,1,0,Selangor,0,5,Slow
Dog,2,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,5,Average
Dog,1,Pure,Female,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Melaka,0,1,Not Adopted
Dog,1,Pure,Mixed,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,6,100,Pulau Pinang,0,3,Not Adopted
Dog,3,Mixed,Female,Pure,Small,Short,Not Sure,Not Sure,Not Sure,Healthy,2,0,Selangor,0,2,Slow
Cat,2,Pure,Male,Mixed,Small,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,5,Slow
Cat,2,Mixed,Female,Pure,Medium,Medium,Yes,Yes,No,Healthy,1,100,Selangor,0,4,Not Adopted
Cat,3,Pure,Mixed,Mixed,Small,Short,Yes,Yes,Not Sure,Minor Injury,3,0,Selangor,0,5,Not Adopted
Cat,2,Pure,Male,Pure,Medium,Short,No,No,No,Healthy,1,0,Pahang,0,4,Fast
Cat,6,Mixed,Mixed,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,3,135,Selangor,0,14,Average
Cat,2,Pure,Male,Mixed,Small,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,2,Fast
Cat,12,Pure,Female,Mixed,Medium,Medium,Not Sure,Yes,Not Sure,Healthy,2,0,Selangor,0,4,Not Adopted
Dog,8,Pure,Male,Mixed,Small,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,4,Slow
Cat,2,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,4,Average
Dog,48,Pure,Male,Mixed,Medium,Long,Yes,Yes,Yes,Healthy,1,0,Selangor,0,3,Not Adopted
Cat,1,Mixed,Mixed,Mixed,Small,Medium,No,No,No,Healthy,5,0,Selangor,0,2,Slow
Cat,1,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,7,Fast
Dog,2,Mixed,Female,Mixed,Medium,Short,No,Yes,Yes,Healthy,1,0,Selangor,0,8,Not Adopted
Cat,6,Mixed,Male,Pure,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,6,Average
Cat,3,Pure,Female,Pure,Medium,Short,No,No,No,Healthy,2,0,Selangor,0,4,Slow
Cat,0,Pure,Male,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,1,Average
Cat,3,Mixed,Mixed,Mixed,Small,Medium,No,No,No,Healthy,2,0,Selangor,0,3,Instant
Dog,12,Pure,Female,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,1,Slow
Cat,2,Mixed,Male,Mixed,Medium,Medium,Yes,Yes,No,Healthy,1,50,Selangor,0,11,Fast
Cat,9,Mixed,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,3,Slow
Cat,3,Pure,Male,Pure,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Fast
Dog,4,Pure,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,1,Average
Dog,2,Pure,Female,Pure,Medium,Short,No,Yes,No,Healthy,1,0,Perak,0,2,Average
Dog,3,Pure,Male,Pure,Medium,Short,Not Sure,Not Sure,No,Healthy,1,0,Selangor,0,2,Slow
Cat,4,Pure,Female,Mixed,Medium,Short,No,Yes,No,Minor Injury,1,0,Selangor,0,2,Average
Cat,3,Pure,Male,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,5,Slow
Dog,2,Pure,Male,Mixed,Large,Short,No,Yes,Not Sure,Healthy,1,0,Kuala Lumpur,0,1,Not Adopted
Cat,2,Pure,Male,Mixed,Small,Short,No,Yes,No,Healthy,1,50,Selangor,0,5,Average
Cat,2,Mixed,Male,Pure,Medium,Medium,No,No,No,Healthy,1,150,Selangor,0,4,Fast
Cat,10,Pure,Female,Mixed,Small,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,0,1,Fast
Dog,12,Mixed,Male,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,2,Average
Dog,15,Pure,Male,Mixed,Small,Medium,Yes,Yes,No,Healthy,1,200,Selangor,0,3,Slow
Cat,5,Pure,Male,Pure,Medium,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,2,Fast
Cat,3,Mixed,Female,Mixed,Small,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,1,Average
Dog,3,Mixed,Female,Mixed,Large,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Average
Dog,1,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,2,Fast
Cat,6,Pure,Female,Mixed,Small,Medium,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,2,Not Adopted
Cat,36,Mixed,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,4,Not Adopted
Cat,2,Pure,Female,Mixed,Small,Medium,No,Yes,No,Healthy,1,0,Pulau Pinang,0,3,Slow
Dog,2,Mixed,Male,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,2,Fast
Dog,2,Pure,Male,Pure,Large,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,0,2,Fast
Cat,2,Pure,Female,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Selangor,0,10,Fast
Cat,5,Pure,Female,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,5,Fast
Dog,1,Pure,Male,Pure,Small,Short,No,Yes,No,Healthy,1,0,Selangor,0,1,Fast
Dog,1,Mixed,Female,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,3,Fast
Dog,24,Pure,Male,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Perak,0,3,Slow
Cat,1,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,1,5,Kuala Lumpur,0,1,Fast
Dog,2,Mixed,Mixed,Mixed,Small,Medium,Yes,Not Sure,Not Sure,Healthy,5,0,Selangor,0,1,Instant
Cat,2,Pure,Male,Pure,Medium,Short,No,Yes,No,Healthy,2,0,Selangor,0,2,Fast
Dog,2,Mixed,Female,Mixed,Medium,Short,Not Sure,Yes,Not Sure,Healthy,1,0,Selangor,0,1,Average
Dog,5,Mixed,Male,Mixed,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,0,13,Slow
Cat,3,Pure,Mixed,Mixed,Medium,Short,No,No,No,Healthy,3,0,Kuala Lumpur,0,5,Slow
Cat,1,Pure,Female,Mixed,Large,Long,No,No,No,Healthy,2,0,Kuala Lumpur,0,7,Fast
Dog,2,Mixed,Female,Pure,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,0,8,Slow
Dog,1,Pure,Male,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Pulau Pinang,0,3,Average
Cat,10,Mixed,Female,Pure,Medium,Medium,Yes,Yes,Yes,Healthy,2,0,Selangor,0,1,Slow
Dog,1,Pure,Female,Mixed,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,1,13,Slow
Dog,60,Pure,Male,Mixed,Medium,Short,Not Sure,Not Sure,Yes,Healthy,1,300,Kuala Lumpur,0,4,Slow
Dog,2,Pure,Male,Pure,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,1,Slow
Dog,5,Pure,Female,Pure,Medium,Medium,Not Sure,Yes,No,Healthy,1,0,Kuala Lumpur,0,3,Average
Dog,50,Pure,Female,Mixed,Small,Medium,Yes,Yes,Not Sure,Healthy,1,100,Perak,0,4,Slow
Dog,2,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,2,50,Selangor,0,2,Average
Cat,1,Pure,Female,Mixed,Small,Short,No,No,No,Healthy,1,0,Selangor,0,4,Not Adopted
Dog,72,Pure,Male,Mixed,Small,Short,Yes,Yes,No,Serious Injury,1,0,Selangor,0,0,Not Adopted
Cat,1,Pure,Male,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,0,5,Fast
Cat,3,Pure,Male,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,4,Slow
Cat,1,Mixed,Mixed,Mixed,Small,Medium,No,No,No,Healthy,6,0,Perak,0,1,Not Adopted
Dog,17,Mixed,Mixed,Mixed,Large,Medium,Yes,Yes,No,Healthy,2,0,Kuala Lumpur,0,2,Fast
Dog,1,Pure,Female,Pure,Medium,Short,No,Yes,No,Healthy,2,0,Kuala Lumpur,0,14,Average
Dog,2,Pure,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,28,Slow
Dog,84,Pure,Male,Mixed,Medium,Long,Yes,Yes,No,Healthy,1,0,Selangor,0,2,Average
Cat,24,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,1,Not Adopted
Cat,1,Pure,Female,Mixed,Small,Short,No,No,No,Healthy,1,0,Kedah,0,1,Slow
Cat,8,Mixed,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Negeri Sembilan,0,1,Not Adopted
Dog,1,Mixed,Male,Mixed,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,0,1,Slow
Cat,8,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,3,Slow
Cat,1,Pure,Female,Mixed,Small,Short,Not Sure,Not Sure,Not Sure,Healthy,1,10,Selangor,0,8,Not Adopted
Cat,48,Mixed,Female,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Pulau Pinang,0,2,Not Adopted
Cat,4,Mixed,Male,Mixed,Medium,Medium,Yes,Yes,No,Healthy,2,0,Kuala Lumpur,0,11,Average
Dog,2,Pure,Mixed,Mixed,Medium,Medium,Yes,Yes,Not Sure,Healthy,2,0,Negeri Sembilan,0,2,Not Adopted
Cat,2,Pure,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Average
Dog,1,Pure,Male,Pure,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,1,Slow
Dog,1,Mixed,Mixed,Mixed,Medium,Short,No,No,No,Healthy,2,0,Pulau Pinang,0,1,Average
Dog,30,Pure,Female,Pure,Medium,Medium,Yes,Yes,Yes,Healthy,1,350,Johor,0,2,Slow
Cat,12,Pure,Male,Mixed,Medium,Short,No,Yes,Yes,Healthy,1,0,Selangor,0,3,Average
Dog,1,Mixed,Mixed,Mixed,Medium,Short,No,No,No,Healthy,6,0,Kuala Lumpur,0,1,Fast
Dog,56,Pure,Female,Mixed,Small,Long,Yes,Yes,No,Healthy,1,0,Selangor,0,0,Not Adopted
Dog,2,Pure,Male,Mixed,Small,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,2,Average
Cat,24,Mixed,Mixed,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,3,0,Kuala Lumpur,0,1,Not Adopted
Dog,36,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,3,Not Adopted
Dog,2,Mixed,Female,Pure,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,0,5,Average
Cat,3,Mixed,Mixed,Mixed,Small,Short,No,Yes,No,Healthy,4,0,Selangor,0,4,Not Adopted
Cat,1,Pure,Mixed,Mixed,Medium,Long,No,Yes,Not Sure,Healthy,2,250,Selangor,0,0,Not Adopted
Dog,54,Pure,Male,Pure,Large,Medium,Yes,Yes,No,Healthy,1,350,Kuala Lumpur,0,20,Average
Cat,4,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,5,Fast
Cat,2,Pure,Male,Mixed,Small,Short,No,Not Sure,No,Healthy,1,0,Selangor,0,1,Fast
Cat,12,Mixed,Male,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,100,Selangor,0,4,Average
Dog,50,Mixed,Female,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Selangor,0,4,Not Adopted
Cat,11,Pure,Female,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,1,Not Adopted
Cat,12,Mixed,Mixed,Mixed,Small,Short,No,No,No,Healthy,4,0,Selangor,0,2,Not Adopted
Dog,2,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,150,Selangor,0,6,Fast
Dog,1,Mixed,Male,Pure,Medium,Medium,No,No,No,Healthy,1,0,Negeri Sembilan,0,1,Slow
Cat,3,Pure,Male,Pure,Small,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,3,Not Adopted
Dog,1,Mixed,Mixed,Pure,Medium,Short,No,No,No,Healthy,4,0,Selangor,0,2,Average
Dog,24,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,6,Not Adopted
Dog,1,Pure,Female,Pure,Medium,Short,No,No,No,Healthy,1,0,Perak,1,8,Slow
Cat,2,Pure,Female,Pure,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,5,Not Adopted
Cat,1,Pure,Female,Mixed,Small,Short,No,No,No,Healthy,1,0,Johor,0,4,Slow
Dog,30,Mixed,Female,Mixed,Large,Long,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,6,Instant
Dog,3,Pure,Mixed,Pure,Medium,Short,No,No,No,Healthy,5,0,Selangor,0,1,Not Adopted
Cat,8,Pure,Mixed,Mixed,Medium,Short,Yes,Yes,Not Sure,Healthy,2,0,Kelantan,0,5,Not Adopted
Dog,1,Pure,Female,Pure,Medium,Short,No,No,No,Healthy,2,0,Selangor,0,3,Not Adopted
Dog,3,Pure,Male,Pure,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,4,Average
Dog,2,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,4,0,Kuala Lumpur,0,3,Not Adopted
Cat,6,Pure,Male,Pure,Medium,Short,Yes,Yes,Yes,Healthy,2,0,Kuala Lumpur,0,5,Not Adopted
Dog,5,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,2,0,Selangor,0,4,Slow
Cat,13,Pure,Mixed,Mixed,Medium,Medium,No,No,No,Healthy,4,0,Kuala Lumpur,0,11,Fast
Cat,6,Pure,Male,Mixed,Small,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,3,Not Adopted
Dog,2,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,1,Slow
Cat,17,Mixed,Male,Mixed,Medium,Medium,No,Yes,Not Sure,Healthy,1,0,Johor,0,1,Slow
Dog,1,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,4,Average
Dog,12,Pure,Male,Mixed,Medium,Medium,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,2,Not Adopted
Cat,5,Pure,Male,Mixed,Medium,Medium,No,Yes,No,Minor Injury,5,10,Pulau Pinang,0,4,Not Adopted
Dog,2,Pure,Female,Pure,Large,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,1,Not Adopted
Cat,3,Pure,Male,Mixed,Medium,Medium,Not Sure,Yes,Not Sure,Healthy,1,0,Kuala Lumpur,0,1,Average
Cat,4,Pure,Female,Mixed,Small,Short,No,No,No,Healthy,1,0,Selangor,0,3,Not Adopted
Dog,8,Pure,Female,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,3,Not Adopted
Cat,3,Mixed,Mixed,Mixed,Small,Short,No,No,No,Healthy,3,0,Selangor,0,12,Average
Dog,11,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Perak,0,5,Not Adopted
Cat,4,Pure,Male,Pure,Medium,Short,Yes,Yes,No,Healthy,1,30,Pulau Pinang,0,1,Not Adopted
Cat,3,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,12,0,Selangor,0,4,Average
Cat,3,Mixed,Male,Mixed,Medium,Medium,Yes,Yes,No,Healthy,2,150,Selangor,0,20,Not Adopted
Cat,2,Mixed,Male,Mixed,Medium,Short,No,Yes,No,Healthy,1,8,Selangor,0,10,Slow
Dog,3,Pure,Male,Pure,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,1,Fast
Cat,6,Pure,Female,Pure,Small,Short,No,Yes,Yes,Healthy,1,0,Perak,0,3,Slow
Dog,8,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,1,Average
Cat,2,Mixed,Female,Mixed,Small,Medium,No,No,No,Healthy,1,0,Selangor,0,5,Fast
Cat,1,Pure,Male,Mixed,Small,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,3,Fast
Cat,2,Pure,Female,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,0,0,Not Adopted
Cat,3,Mixed,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,4,Slow
Dog,12,Mixed,Male,Pure,Small,Short,Yes,Yes,No,Minor Injury,1,0,Selangor,0,1,Not Adopted
Cat,23,Pure,Mixed,Mixed,Medium,Short,No,Yes,Yes,Healthy,3,100,Selangor,0,11,Not Adopted
Cat,12,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,2,0,Johor,0,4,Not Adopted
